;value;WeekDays;Month;MonthShort;WeekOfYear;CalendarQuarter;FiscalQuarter;CalendarYear;FiscalYear;FiscalPeriod
1;01/10/2018;seg;10;out;40;Q4;Q1;2018;2019;P01
2;02/10/2018;ter;10;out;40;Q4;Q1;2018;2019;P01
3;03/10/2018;qua;10;out;40;Q4;Q1;2018;2019;P01
4;04/10/2018;qui;10;out;40;Q4;Q1;2018;2019;P01
5;05/10/2018;sex;10;out;40;Q4;Q1;2018;2019;P01
6;06/10/2018;sáb;10;out;40;Q4;Q1;2018;2019;P01
7;07/10/2018;dom;10;out;40;Q4;Q1;2018;2019;P01
8;08/10/2018;seg;10;out;41;Q4;Q1;2018;2019;P01
9;09/10/2018;ter;10;out;41;Q4;Q1;2018;2019;P01
10;10/10/2018;qua;10;out;41;Q4;Q1;2018;2019;P01
11;11/10/2018;qui;10;out;41;Q4;Q1;2018;2019;P01
12;12/10/2018;sex;10;out;41;Q4;Q1;2018;2019;P01
13;13/10/2018;sáb;10;out;41;Q4;Q1;2018;2019;P01
14;14/10/2018;dom;10;out;41;Q4;Q1;2018;2019;P01
15;15/10/2018;seg;10;out;42;Q4;Q1;2018;2019;P01
16;16/10/2018;ter;10;out;42;Q4;Q1;2018;2019;P01
17;17/10/2018;qua;10;out;42;Q4;Q1;2018;2019;P01
18;18/10/2018;qui;10;out;42;Q4;Q1;2018;2019;P01
19;19/10/2018;sex;10;out;42;Q4;Q1;2018;2019;P01
20;20/10/2018;sáb;10;out;42;Q4;Q1;2018;2019;P01
21;21/10/2018;dom;10;out;42;Q4;Q1;2018;2019;P01
22;22/10/2018;seg;10;out;43;Q4;Q1;2018;2019;P01
23;23/10/2018;ter;10;out;43;Q4;Q1;2018;2019;P01
24;24/10/2018;qua;10;out;43;Q4;Q1;2018;2019;P01
25;25/10/2018;qui;10;out;43;Q4;Q1;2018;2019;P01
26;26/10/2018;sex;10;out;43;Q4;Q1;2018;2019;P01
27;27/10/2018;sáb;10;out;43;Q4;Q1;2018;2019;P01
